id,createdAt,updatedAt,companyId,name,description,baseFare,perKmRate,perMinuteRate,minimumFare,waitingFee,airportFee,tollFee,extraStopFee,peakHourMultiplier,nightTimeMultiplier,maxSurgeMultiplier,isActive,validFrom,validTo
cmhf8jg6w00339klpqyunljr7,2025-10-31 19:17:26.841,2025-10-31 19:18:50.094,cmhevs52o00079ky41o3lkbee,Qatar Standard,Qatar Standard tariff,10.00,2.00,0.50,15.00,1.00,0.00,,,,,3.00,t,,
cmhf8kluu00119k4082il2s42,2025-10-31 19:18:20.839,2025-10-31 19:18:50.106,cmhevs52o00079ky41o3lkbee,Qatar Premium,Qatar Premium tariff,15.00,3.00,0.80,25.00,1.50,0.00,,,,,3.00,t,,
cmhf8klv000199k40istt5os7,2025-10-31 19:18:20.844,2025-10-31 19:18:50.11,cmhevs52o00079ky41o3lkbee,Qatar Luxury,Qatar Luxury tariff,25.00,4.50,1.20,40.00,2.00,0.00,,,,,3.00,t,,
cmhf8klv3001d9k40ncsgu30h,2025-10-31 19:18:20.847,2025-10-31 19:18:50.112,cmhevs52o00079ky41o3lkbee,Qatar Airport Express,Qatar Airport Express tariff,20.00,2.50,0.60,30.00,1.20,15.00,,,,,3.00,t,,
cmhf8klv6001h9k40rz8gz3c6,2025-10-31 19:18:20.85,2025-10-31 19:18:50.115,cmhevs52o00079ky41o3lkbee,Qatar Van/Bus,Qatar Van/Bus tariff,20.00,3.50,1.00,35.00,1.80,0.00,,,,,3.00,t,,
cmhf8klv8001j9k40qff54zdv,2025-10-31 19:18:20.853,2025-10-31 19:18:50.12,cmhevs52o00079ky41o3lkbee,Qatar Economy,Budget-friendly option for Qatar residents,8.00,1.50,0.40,12.00,0.80,0.00,,,,,3.00,t,,
cmhf8klwe003j9k40pnnhysz6,2025-10-31 19:18:20.894,2025-10-31 19:18:50.147,cmhevs52s00099ky4aqisl0yv,Qatar Standard,Qatar Standard tariff,10.00,2.00,0.50,15.00,1.00,0.00,,,,,3.00,t,,
cmhf8klwv004l9k405ro2qq0h,2025-10-31 19:18:20.912,2025-10-31 19:18:50.157,cmhevs52s00099ky4aqisl0yv,Qatar Premium,Qatar Premium tariff,15.00,3.00,0.80,25.00,1.50,0.00,,,,,3.00,t,,
cmhf8klx0004t9k40agp81yh9,2025-10-31 19:18:20.917,2025-10-31 19:18:50.16,cmhevs52s00099ky4aqisl0yv,Qatar Luxury,Qatar Luxury tariff,25.00,4.50,1.20,40.00,2.00,0.00,,,,,3.00,t,,
cmhf8klx3004x9k4004yciep6,2025-10-31 19:18:20.92,2025-10-31 19:18:50.162,cmhevs52s00099ky4aqisl0yv,Qatar Airport Express,Qatar Airport Express tariff,20.00,2.50,0.60,30.00,1.20,15.00,,,,,3.00,t,,
cmhf8klx600519k403uybo8pc,2025-10-31 19:18:20.922,2025-10-31 19:18:50.165,cmhevs52s00099ky4aqisl0yv,Qatar Van/Bus,Qatar Van/Bus tariff,20.00,3.50,1.00,35.00,1.80,0.00,,,,,3.00,t,,
cmhf8klx800539k40kxbx5deb,2025-10-31 19:18:20.924,2025-10-31 19:18:50.167,cmhevs52s00099ky4aqisl0yv,Qatar Economy,Budget-friendly option for Qatar residents,8.00,1.50,0.40,12.00,0.80,0.00,,,,,3.00,t,,
8e2eb03a-f1fd-4b40-9b66-b37512e9d617,2025-11-05 09:35:01.402,2025-11-08 10:31:30.332,cmhevs52g00059ky427qd5kxe,Normal,This is Normal,3.50,1.50,0.00,3.50,1.20,0.00,0.00,0.00,,,3.00,t,,
cmhf95gzm00m39kowaqdbzhnf,2025-10-31 19:34:34.306,2025-11-08 10:31:50.424,cmhevs52g00059ky427qd5kxe,Doha Tariff,test,2.50,1.00,0.00,2.50,1.00,0.00,0.00,0.00,,,3.00,t,,
74b46963-a6f7-4a07-a3f1-f732ba7eae32,2025-11-12 16:38:17.129,2025-11-12 16:38:17.128,cmhevs52g00059ky427qd5kxe,Tariff1,"",4.00,4.00,1.00,3.97,1.00,,,,,,3.00,t,,
f96bea7a-95b1-43b8-bf9d-e7cc5ede0998,2025-11-12 16:39:00.768,2025-11-12 16:39:00.768,cmhevs52g00059ky427qd5kxe,Van Tarrif,Van Tarrif,7.00,5.90,1.00,7.00,1.00,,,,,,3.00,t,,
16bd5641-ac0a-4935-b9ee-b18269b4072e,2025-11-12 16:39:29.732,2025-11-12 16:39:29.731,cmhevs52g00059ky427qd5kxe,Airport tariff,Airport tariff,9.00,5.00,1.00,9.00,1.00,,,,,,3.00,t,,
ffaef865-cfd9-4433-a191-d30dbeda27e8,2025-11-12 16:40:07.215,2025-11-12 16:40:07.214,cmhevs52g00059ky427qd5kxe,Total Mobility ,Total Mobility ,8.00,5.00,2.00,8.00,2.00,,,,,,3.00,t,,
6244bb05-9d5c-43d1-bde1-5baefd040270,2025-11-12 16:40:37.4,2025-11-12 16:40:37.399,cmhevs52g00059ky427qd5kxe,Event car tariff,Event car tariff,5.50,5.70,1.00,5.50,1.00,,,,,,3.00,t,,
ff2f6c26-49c6-401c-8b0a-34877ee61fb9,2025-11-12 16:41:03.12,2025-11-12 16:41:03.119,cmhevs52g00059ky427qd5kxe,Event van tariff,Event van tariff,8.50,6.80,1.00,8.50,1.00,,,,,,3.00,t,,
